"LocalizationKey","Notes","English","Japanese","Chinese_Simple","Chinese_Traditional","",""
"empty","For System","","","","","",""
"press_space_to_get_back","General","-> Press <color=#FFFFFF>Space</color> to Return <-","-> <color=#FFFFFF>Space</color>キーで戻る <-","-> 按<color=#FFFFFF>空格键</color>返回 <-","-> 按<color=#FFFFFF>空白鍵</color>返回 <-","",""
"button_start","Title Button","Start","スタート","开始","開始","",""
"button_ranking","Title Button","Rankings","ランキング","排名","排名","",""
"button_tutorial","Title Button","Tutorial","チュートリアル","教程","教學","",""
"button_staff_list","Title Button","Credits","クレジット","开发者名单","開發者名單","",""
"button_quit","Title Button","Quit","終了","退出","退出","",""
"button_replay","Gameplay UI","Replay","リプレイ","重玩","重玩","",""
"button_resume","Gameplay UI","Resume","再開","关闭菜单","關閉選單","",""
"press_space_to_start","Gameplay UI","-> Press <color=#FFFFFF>Space Key</color> to Start <-","-> <color=#FFFFFF>Space</color>キーでスタート <-","-> 按<color=#FFFFFF>空格键</color>开始 <-","-> 按<color=#FFFFFF>空白鍵</color>開始 <-","",""
"warning","Gameplay UI","Warning!","警告！","警告！","警告！","",""
"tutorial_title","Tutorial UI","= Tutorial =","= チュートリアル =","=教程=","=教程=","",""
"tutorial_title_gameplay_input","Tutorial UI","<- Gameplay Controls ->","<- ゲーム操作 ->","<- 游戏操作 ->","<- 遊戲操作 ->","",""
"tutorial_title_ui_input","Tutorial UI","<- Menu Controls ->","<- メニュー操作 ->","<- 菜单操作 ->","<- 選單操作 ->","",""
"tutorial_title_gameplay1","Tutorial UI","<-  Gameplay 1  ->","<- ゲームプレイ 1 ->","<- 游戏玩法 1 ->","<- 遊戲玩法 1 ->","",""
"tutorial_title_gameplay2","Tutorial UI","<-  Gameplay 2  ->","<- ゲームプレイ 2 ->","<- 游戏玩法 2 ->","<- 遊戲玩法 2 ->","",""
"tutorial_title_skill_card","Tutorial UI","<-  Skill Cards  ->","<- スキルカード ->","<- 技能卡 ->","<- 技能卡 ->","",""
"tutorial_title_skill_list1","Tutorial UI","<-  Skill List 1  ->","<- スキル一覧 1 ->","<- 技能列表 1 ->","<- 技能列表 1 ->","",""
"tutorial_title_skill_list2","Tutorial UI","<-  Skill List 2  ->","<- スキル一覧 2 ->","<- 技能列表 2 ->","<- 技能列表 2 ->","",""
